MSFT
AAPL
GOOGL
GOOG
AMZN
NVDA
META
BRK.B
LLY
TSLA
AVGO
V
JPM
UNH
WMT
MA
XOM
JNJ
PG
HD
COST
ORCL
MRK
ABBV
CVX
ADBE
CRM
AMD
BAC
KO
NFLX
ACN
PEP
TMO
MCD
CSCO
LIN
DIS
ABT
TMUS
INTU
INTC
DHR
WFC
IBM
QCOM
NOW
VZ
CMCSA
CAT
NKE
AMGN
PFE
AXP
AMAT
BX
UNP
GE
TXN
UBER
MS
SPGI
PM
ISRG
COP
BKNG
SYK
HON
LOW
BA
GS
UPS
PLD
T
RTX
PANW
ELV
BLK
LRCX
NEE
MDT
TJX
SCHW
ETN
SBUX
VRTX
PGR
DE
LMT
C
REGN
ADP
BMY
CB
MDLZ
CI
CVS
MMC
ADI
ABNB
BSX
MU
GILD
ZTS
AMT
SNPS
ANET
KLAC
FI
CDNS
HCA
EQIX
SHW
ITW
WM
ICE
MCO
CME
GD
SO
CSX
MAR
CMG
DUK
MO
BDX
CL
NOC
TGT
SLB
MCK
PH
EOG
MPC
PSX
PYPL
APH
CTAS
TT
TDG
AON
USB
LULU
ORLY
FDX
NXPI
EMR
ROP
PNC
MNST
ECL
NSC
ADSK
PCAR
MSI
RSG
FTNT
FCX
PXD
EW
AJG
EL
COF
MMM
OXY
CARR
F
PSA
HLT
MET
ROST
TRV
CPRT
APD
AIG
VLO
WELL
DHI
SPG
GWW
ODFL
IDXX
TFC
CHTR
CCI
DXCM
MSCI
AZO
MCHP
COR
NUE
AFL
HUM
GM
TEL
DLR
STZ
PAYX
KHC
HES
O
SRE
KDP
URI
LEN
BK
CEG
ALL
WMB
CNC
AMP
LVS
KMB
AEP
OKE
HSY
FAST
IQV
LHX
SYY
A
AME
CTSH
PRU
DOW
JCI
CTVA
NEM
EA
D
GEHC
KVUE
KMI
OTIS
FIS
YUM
VRSK
IT
MPWR
CMI
GPN
GIS
BIIB
IR
PCG
ON
CSGP
EXC
MRNA
NDAQ
FICO
PPG
CDW
KR
MLM
ROK
XEL
VMC
ACGL
HAL
LYB
EFX
ED
PWR
VICI
DLTR
WST
EXR
XYL
RCL
ANSS
DG
PEG
BKR
FTV
DD
ADM
KEYS
HPQ
WTW
HIG
GLW
DFS
BF.B
FANG
RMD
DVN
TTWO
CBRE
DAL
MTD
CAH
ZBH
ULTA
TSCO
EIX
AVB
WEC
WAB
CHD
HWM
WY
RJF
AWK
TROW
GRMN
NVR
WBD
BR
SBAC
BRO
BLDR
APTV
FITB
ALGN
MOH
STT
DOV
EQR
JBHT
EBAY
STE
MTB
PHM
PTC
ILMN
DTE
FE
ROL
LYV
ETR
WRB
TDY
VRSN
VLTO
IFF
AXON
ARE
BAX
INVH
HPE
STLD
IRM
DRI
GPC
FLT
CBOE
TRGP
HUBB
AKAM
LUV
ES
WBA
PPL
WAT
CLX
LH
CCL
COO
STX
PFG
TYL
NTAP
BALL
EXPD
WDC
TSN
K
VTR
CTRA
EXPE
J
FDS
AEE
HBAN
JBL
CNP
MKC
IEX
HOLX
CINF
ATO
TXT
SWKS
OMC
ENPH
RF
EPAM
NTRS
AVY
CMS
FSLR
BBY
MAS
L
CE
SYF
MGM
HRL
LDOS
TER
EG
PKG
NDSN
NWS
NWSA
POOL
DPZ
CF
ESS
CFG
LW
MAA
DGX
BEN
EQT
VTRS
FOX
FOXA
SNA
HST
UAL
SWK
GEN
SJM
ALB
PODD
KIM
AMCR
MRO
TRMB
ZBRA
TAP
CAG
KEY
INCY
LKQ
RVTY
BG
JKHY
CPB
PNR
LNT
IP
AOS
GL
NRG
JNPR
WYNN
TFX
IPG
KMX
UDR
ALLE
CRL
RL
EVRG
NI
REG
AES
FFIV
WRK
DAY
PAYC
QRVO
HII
TECH
CTLT
DVA
BXP
UHS
BBWI
CPT
PEAK
MOS
EMN
TPR
AAL
CZR
MTCH
HSIC
BIO
ETSY
AIZ
APA
PARA
CHRW
RHI
MKTX
FRT
GNRC
PNW
BWA
IVZ
HAS
NCLH
MHK
XRAY
CMA
FMC
WHR
VFC
ZION
